Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Gender by Ethnicity,Female Asian,2014,4 year August,6216,5708,91.8,5589,89.9,97.9,3466,55.8,60.7,2123,34.2,37.2,119,1.9,2.1,347,5.6,147,2.4,8,0.1,6,0.1
Gender by Ethnicity,Female Asian,2013,4 year August,6038,5534,91.7,5449,90.2,98.5,3353,55.5,60.6,2096,34.7,37.9,85,1.4,1.5,343,5.7,136,2.3,11,0.2,12,0.2
Gender by Ethnicity,Female Asian,2012,4 year August,5965,5375,90.1,5301,88.9,98.6,3067,51.4,57.1,2234,37.5,41.6,74,1.2,1.4,405,6.8,165,2.8,12,0.2,8,0.1
Gender by Ethnicity,Female Asian,2011,4 year August,6014,5359,89.1,5311,88.3,99.1,3093,51.4,57.7,2218,36.9,41.4,48,0.8,0.9,445,7.4,189,3.1,14,0.2,6,0.1
Gender by Ethnicity,Female Asian,2010,4 year August,6139,5304,86.4,5250,85.5,99.0,3076,50.1,58.0,2174,35.4,41.0,54,0.9,1.0,538,8.8,264,4.3,21,0.3,9,0.1
Gender by Ethnicity,Female Asian,2009,4 year August,6352,5491,86.4,5439,85.6,99.1,3196,50.3,58.2,2243,35.3,40.8,52,0.8,0.9,561,8.8,266,4.2,22,0.3,12,0.2
Gender by Ethnicity,Female Asian,2008,4 year August,5932,5140,86.6,5092,85.8,99.1,3000,50.6,58.4,2092,35.3,40.7,48,0.8,0.9,549,9.3,213,3.6,17,0.3,12,0.2
Gender by Ethnicity,Female Asian,2007,4 year August,5639,4937,87.6,4648,82.4,94.1,2855,50.6,57.8,1793,31.8,36.3,289,5.1,5.9,440,7.8,223,4.0,19,0.3,18,0.3
Gender by Ethnicity,Female Asian,2006,4 year August,5524,4826,87.4,4459,80.7,92.4,2756,49.9,57.1,1703,30.8,35.3,367,6.6,7.6,430,7.8,222,4.0,18,0.3,28,0.5
Gender by Ethnicity,Female Asian,2005,4 year August,5292,4537,85.7,4037,76.3,89.0,2610,49.3,57.5,1427,27.0,31.5,500,9.4,11.0,483,9.1,201,3.8,20,0.4,51,1.0
