name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,easting,northing,longitude,latitude,runtime
Cineworld Cinema London Wembley,,,,,,,Stadium Way,,,519078.57838179916,185614.42424679548,-0.2821430942921767,51.55635200667732,10/17/2021
Showcase Newham,Newham,,10008989589,E09000025,Beckton,E05000475,,Jenkins Ln,,544471.0001221001,182878.00012210011,0.08281314302185623,51.52582908332895,10/17/2021
David Lean Cinema,Croydon,,200001222331,E09000008,Fairfield,E05011468,,Katherine St,,532417.0001221001,165393.00012210011,-0.09740406003535503,51.37163655625374,10/17/2021
Vue Croydon,Croydon,,10001004802,E09000008,Fairfield,E05011468,,14 High St,,532270.0001221001,165482.00012210011,-0.09948180925774962,51.37247073348183,10/17/2021
Vue Croydon Purley Way,Croydon,,100022906148,E09000008,Broad Green,E05011465,Valley Park Leisure Complex,21 Hesterman Way,,530624.0001221001,166010.00012210011,-0.1229244685812439,51.377597443985955,10/17/2021
Odeon Beckenham,Bromley,,10003626016,E09000006,Copers Cope,E05000113,,The High Street,,537018.0001221001,169403.00012210011,-0.02978938493543999,51.406584118758595,10/17/2021
Odeon Kingston,Kingston upon Thames,,128004717,E09000021,Grove,E05000408,,Clarence Street,,518370.0001221001,169448.00012210011,-0.29778070182442573,51.41118850559655,10/17/2021
Odeon Wimbledon,Merton,,48105080,E09000024,Dundonald,E05000459,,39 The Broadway,,524916.0001221001,170484.00012210011,-0.20332929005076492,51.41909576082549,10/17/2021
Odeon Streatham,Lambeth,,200000481977,E09000022,Streatham Wells,E05000432,,47-49 High Road,,530225.0001221001,172005.00012210011,-0.12645360825449703,51.43157126981428,10/17/2021
West Norwood Library And Picturehouse,Lambeth,,10000446790,E09000022,Gipsy Hill,E05000422,1-7 Norwood High St,West Norwood,,531941.0001221001,172173.00012210011,-0.10171739652350188,51.432684146810786,10/17/2021
