name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Troubadour Wembley Park Theatre,Fulton Road,,,,,,,,,-0.2817884536759514,51.56085053698574,518981.3968192088,186168.5883621346,10/17/2021
"Assembly Rooms, Surbiton",138 Maple Road, Surbiton,NA,Kingston upon Thames,NA,128012933,E09000021,Grove,E05000408,-0.3084259634104032,51.396239372785324,517558.33868540253,167823.83715724957,10/17/2021
George Wood Theatre ,Goldsmith's College, University of London,NA,Lewisham,NA,100023000000,E09000023,New Cross,E05000449,-0.03771247917133249,51.47568861221421,536149.2429007317,177126.135651234,10/17/2021
Greenwich & Lewisham Young People's Theatre,The Tramshed, 51-53 Woolwich New Road,NA,Greenwich,http://www.glypt.co.uk/,100023000000,E09000011,Woolwich Riverside,E05000230,0.0663930789412,51.490012927078496,543331.8397495545,178917.5325181157,10/17/2021
Piccadilly Theatre,16 Denman St, Soho,NA,City of Westminster,https://www.piccadillytheatre.org/,100023000000,E09000033,West End,E05000649,-0.13698033213759486,51.51156528850338,529155.9161177657,180934.85208039073,10/17/2021
Bacon's College Theatre,Timber Pond Road, Rotherhithe,NA,Southwark,NA,200003000000,E09000028,Rotherhithe,E05011112,-0.04386252398093959,51.502875561798646,535641.52779856,180137.32080730412,10/17/2021
Courtyard Theatre,40 Pitfield Street,NA,NA,Hackney,NA,10091002509,E09000012,Hoxton West,E05009378,-0.08496288918437335,51.52838974209928,532715.5464827259,182898.55251109053,10/17/2021
Dugdale Arts Centre,39 London Road, Enfield,NA,Enfield,https://www.dugdalecentre.co.uk/,207007119,E09000010,Grange,E05000200,-0.08231178294641245,51.65033224944441,532543.662169537,196460.82503753813,10/17/2021
Bloomsbury Theatre,15 Gordon St, Bloomsbury,NA,Camden,https://www.thebloomsbury.com/,5007085,E09000007,Bloomsbury,E05000129,-0.1345818622860995,51.52583300840003,529281.8748037714,182525.38384192612,10/17/2021
Etcetera Theatre,265 Camden High St,NA,NA,Camden,http://www.etceteratheatre.com/,5007472,E09000007,Camden Town with Primrose Hill,E05000130,-0.14555410827825083,51.54065446198819,528479.1773583092,184153.89664371754,10/17/2021
