		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Hum.	Temp.	Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Hoja 1	Hoja 1	Viento	Viento	ISS 	Arc.
01/08/09	0:10	30.4	30.6	30.4	15	0.8	1.8	WSW	1.07	6.7	WSW	30.4	28.4	28.4	26.1	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.084	30.9	13	-0.7	28.7	0.00	---	---	233	1	100.0	10
01/08/09	0:20	30.4	30.4	30.4	16	1.7	2.2	WSW	1.34	6.3	SW	30.4	28.5	28.5	26.1	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.084	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	0:30	30.1	30.4	30.1	17	2.3	0.4	E	0.27	2.2	E	30.1	28.2	28.2	25.9	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.081	30.9	13	-0.7	28.7	0.00	---	---	235	1	100.0	10
01/08/09	0:40	29.7	30.1	29.7	17	2.1	0.4	ENE	0.27	2.7	ENE	29.7	27.9	27.9	25.5	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.079	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	0:50	29.5	29.7	29.5	17	1.9	0.9	ENE	0.54	2.2	ENE	29.5	27.7	27.7	25.3	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	1:00	28.9	29.5	28.9	18	2.2	1.3	NE	0.80	3.6	NE	28.9	27.2	27.2	24.9	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	30.9	13	-0.7	28.7	0.08	---	---	234	1	100.0	10
01/08/09	1:10	28.3	28.9	28.3	18	1.7	0.0	NE	0.00	1.8	NE	28.3	26.6	26.6	24.2	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.069	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	1:20	28.1	28.3	28.1	18	1.5	1.3	NE	0.80	3.1	NE	28.1	26.3	26.3	23.9	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.068	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	1:30	27.9	28.1	27.9	19	2.1	0.0	NE	0.00	1.8	NE	27.9	26.1	26.1	23.7	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.066	30.9	13	-0.7	28.7	0.00	---	---	235	1	100.0	10
01/08/09	1:40	27.6	27.9	27.6	19	1.9	0.4	NE	0.27	1.8	NE	27.6	25.8	25.8	23.4	1011.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	1:50	27.3	27.6	27.3	19	1.7	0.4	NE	0.27	1.8	NE	27.3	25.6	25.6	23.2	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.062	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	2:00	27.3	27.3	27.3	19	1.6	0.4	NE	0.27	2.2	NE	27.3	25.5	25.5	23.1	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.062	30.9	13	-0.7	28.7	0.05	---	---	233	1	100.0	10
01/08/09	2:10	27.6	27.6	27.3	19	1.9	0.4	NE	0.27	1.3	NE	27.6	25.8	25.8	23.4	1011.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.064	30.8	13	-0.8	28.7	0.00	---	---	234	1	100.0	10
01/08/09	2:20	27.4	27.8	27.4	19	1.8	0.9	NE	0.54	2.7	ENE	27.4	25.7	25.7	23.3	1011.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.063	30.8	13	-0.8	28.7	0.00	---	---	234	1	100.0	10
01/08/09	2:30	26.7	27.4	26.7	20	1.9	0.4	ENE	0.27	2.2	ENE	26.7	25.1	25.1	22.7	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.058	30.9	13	-0.7	28.7	0.00	---	---	234	1	100.0	10
01/08/09	2:40	26.7	26.7	26.6	20	1.9	0.4	ENE	0.27	1.8	ENE	26.7	25.1	25.1	22.7	1011.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.058	30.8	13	-0.8	28.7	0.00	---	---	235	1	100.0	10
01/08/09	2:50	26.6	26.7	26.6	21	2.4	0.4	ENE	0.27	1.8	ENE	26.6	24.9	24.9	22.6	1011.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.057	30.8	13	-0.8	28.7	0.00	---	---	233	1	100.0	10
01/08/09	3:00	26.1	26.6	26.1	21	2.1	0.0	---	0.00	0.0	---	26.1	24.6	24.6	22.2	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.054	30.8	13	-0.8	28.7	0.05	---	---	233	1	100.0	10
01/08/09	3:10	26.0	26.2	26.0	21	2.0	0.0	ENE	0.00	0.4	ENE	26.0	24.6	24.6	22.2	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.053	30.8	13	-0.8	28.7	0.00	---	---	234	1	100.0	10
01/08/09	3:20	25.7	26.0	25.7	21	1.7	0.0	ENE	0.00	0.4	ENE	25.7	24.4	24.4	22.1	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.051	30.8	13	-0.8	28.7	0.00	---	---	234	1	100.0	10
01/08/09	3:30	25.5	25.7	25.5	22	2.2	0.9	ENE	0.54	1.8	ENE	25.5	24.4	24.4	22.1	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.050	30.8	13	-0.8	28.7	0.00	---	---	233	1	100.0	10
01/08/09	3:40	24.9	25.5	24.9	23	2.3	1.3	ENE	0.80	2.2	ENE	24.9	24.1	24.1	21.7	1011.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.046	30.8	13	-0.8	28.7	0.00	---	---	235	1	100.0	10
01/08/09	3:50	24.7	24.9	24.7	22	1.6	0.9	ENE	0.54	2.2	ENE	24.7	23.8	23.8	21.4	1011.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.044	30.8	13	-0.8	28.7	0.00	---	---	234	1	100.0	10
