		Temp.	Temp.	Temp.	Hum.	Pto.	Vel.	Dir.	Rec.	Vel.	Dir.	Sens.	Ind.	Ind.	Indice			Int. 	Rad.	Energía	Max.Rad.	Índice	Dosis	UV 	Grad.D.	Grad.D.	Temp.	Hum.	Rocío	In.Cal.		Muest	Tx  	Recep.	Int.
Fecha	Hora	Ext.	Máx.	Mín.	Ext.	Rocío	Viento	Viento	Viento	Máx.	Max.	Term.	Calor	THW 	THSW 	Bar  	Lluvia	Lluvia	Solar	Solar	Solar 	UV  	UV 	Máx 	Calor 	Frío 	Int.	Int.	Int.	Int.  	ET  	Viento	Viento	ISS 	Arc.
01/08/10	0:10	30.7	30.9	30.7	24	7.8	0.9	E	0.54	1.8	E	30.7	29.1	29.1	26.9	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.086	34.6	23	10.5	33.3	0.00	231	1	100.0	10
01/08/10	0:20	30.4	30.7	30.4	25	8.1	0.4	E	0.27	1.3	E	30.4	28.9	28.9	26.8	1010.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.084	34.5	23	10.4	33.2	0.00	234	1	100.0	10
01/08/10	0:30	30.1	30.4	30.1	25	7.9	0.4	E	0.27	1.8	E	30.1	28.6	28.6	26.5	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.081	34.5	23	10.4	33.2	0.00	235	1	100.0	10
01/08/10	0:40	29.7	30.1	29.7	26	8.2	0.4	E	0.27	1.3	E	29.7	28.4	28.4	26.3	1010.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.079	34.5	23	10.4	33.2	0.00	234	1	100.0	10
01/08/10	0:50	29.3	29.7	29.3	27	8.3	0.0	E	0.00	0.9	E	29.3	28.0	28.0	25.9	1010.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.076	34.5	23	10.4	33.2	0.00	234	1	100.0	10
01/08/10	1:00	29.1	29.3	29.1	27	8.2	0.0	---	0.00	0.0	---	29.1	27.8	27.8	25.7	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	34.5	23	10.4	33.2	0.03	234	1	100.0	10
01/08/10	1:10	28.9	29.1	28.9	28	8.6	0.0	---	0.00	0.0	---	28.9	27.8	27.8	25.8	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.074	34.5	23	10.4	33.2	0.00	233	1	100.0	10
01/08/10	1:20	28.9	28.9	28.9	28	8.5	0.0	E	0.00	0.9	E	28.9	27.8	27.8	25.7	1010.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.073	34.5	23	10.4	33.2	0.00	234	1	100.0	10
01/08/10	1:30	28.6	28.9	28.6	28	8.3	0.9	E	0.54	1.8	E	28.6	27.3	27.3	25.2	1010.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.071	34.5	23	10.4	33.2	0.00	233	1	100.0	10
