latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-32.909,-65.624,303.6,1.4,1.2,2020-10-11,0330,Terra,MODIS,30,6.0NRT,282.5,12,N
-32.927,-65.604,319.6,1.4,1.2,2020-10-11,0330,Terra,MODIS,56,6.0NRT,283,29.8,N
-32.937,-65.602,333.4,1.4,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,284.7,57.3,N
-33.237,-65.849,309.4,1.3,1.1,2020-10-11,0330,Terra,MODIS,38,6.0NRT,279,17.6,N
-33.235,-65.835,342.7,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,282.3,76.5,N
-33.248,-65.846,302.7,1.3,1.1,2020-10-11,0330,Terra,MODIS,11,6.0NRT,280.3,11.6,N
-33.245,-65.832,308.4,1.3,1.1,2020-10-11,0330,Terra,MODIS,49,6.0NRT,278.3,17.3,N
-33.295,-65.827,337.1,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,279.2,62.3,N
-33.292,-65.813,351,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,279.4,101.2,N
-33.305,-65.824,308.3,1.3,1.1,2020-10-11,0330,Terra,MODIS,74,6.0NRT,276.2,18,N
-33.302,-65.811,301,1.3,1.1,2020-10-11,0330,Terra,MODIS,35,6.0NRT,275.5,12.5,N
-34.716,-68.13,314.8,1,1,2020-10-11,0330,Terra,MODIS,90,6.0NRT,280.1,18,N
-32.785,-65.851,368.7,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,288.1,173.8,N
-32.793,-65.893,302.2,1.3,1.1,2020-10-11,0330,Terra,MODIS,25,6.0NRT,280.3,11.1,N
-32.773,-65.839,306.7,1.3,1.1,2020-10-11,0330,Terra,MODIS,69,6.0NRT,281,16.2,N
-32.775,-65.853,313.2,1.3,1.1,2020-10-11,0330,Terra,MODIS,86,6.0NRT,280.9,22.9,N
-32.569,-64.848,302.2,1.5,1.2,2020-10-11,0330,Terra,MODIS,34,6.0NRT,281.3,13.8,N
-32.558,-64.852,304.9,1.5,1.2,2020-10-11,0330,Terra,MODIS,37,6.0NRT,281.1,16.1,N
-32.528,-64.753,323.9,1.6,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,285.7,46.9,N
-32.544,-64.838,312.3,1.5,1.2,2020-10-11,0330,Terra,MODIS,18,6.0NRT,283.1,23.4,N
-32.547,-64.855,335.2,1.5,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,283.9,70.4,N
-32.551,-64.872,311.4,1.5,1.2,2020-10-11,0330,Terra,MODIS,32,6.0NRT,280.6,23.1,N
-32.525,-64.742,318.4,1.6,1.2,2020-10-11,0330,Terra,MODIS,97,6.0NRT,284.7,36.1,N
-32.528,-64.76,330.6,1.6,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,284.1,61.6,N
-32.544,-64.845,318.5,1.5,1.2,2020-10-11,0330,Terra,MODIS,95,6.0NRT,284,34.5,N
-32.547,-64.862,338.6,1.5,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,283.4,80.9,N
-32.514,-64.746,372.9,1.6,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,286.9,248.1,N
-32.517,-64.763,372.8,1.6,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,286,246.8,N
-32.533,-64.849,335.1,1.5,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,283.4,72.8,N
-32.536,-64.866,320.9,1.5,1.2,2020-10-11,0330,Terra,MODIS,100,6.0NRT,280.9,40.3,N
-32.375,-65.966,336.7,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,289.4,60.6,N
-31.144,-62.513,300.7,2.3,1.5,2020-10-11,0330,Terra,MODIS,32,6.0NRT,288.1,15.5,N
-31.15,-62.537,348.2,2.3,1.5,2020-10-11,0330,Terra,MODIS,100,6.0NRT,291.4,201.7,N
-31.149,-62.518,313.2,2.3,1.5,2020-10-11,0330,Terra,MODIS,86,6.0NRT,288.6,43.6,N
-31.154,-62.542,328.1,2.3,1.5,2020-10-11,0330,Terra,MODIS,100,6.0NRT,289.2,93.3,N
-31.136,-62.522,315.4,2.3,1.5,2020-10-11,0330,Terra,MODIS,91,6.0NRT,288.3,48.7,N
-31.141,-62.546,331.9,2.3,1.5,2020-10-11,0330,Terra,MODIS,100,6.0NRT,288.9,108.8,N
-31.721,-68.321,327.8,1.1,1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,286.1,32,N
-31.705,-68.523,342.5,1.1,1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,287.2,54.1,N
-31.707,-68.534,384.7,1.1,1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,295.9,191.1,N
-31.708,-68.545,319.3,1.1,1,2020-10-11,0330,Terra,MODIS,98,6.0NRT,286.8,20.2,N
-31.7,-68.53,351.8,1.1,1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,289.3,74.7,N
-31.702,-68.541,339.1,1.1,1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,288.4,48,N
-30.965,-64.957,302,1.6,1.3,2020-10-11,0330,Terra,MODIS,46,6.0NRT,291,10.1,N
-27.978,-61.154,301.4,3.4,1.7,2020-10-11,0330,Terra,MODIS,41,6.0NRT,289.5,32.6,N
-27.536,-63.881,305.5,2.3,1.5,2020-10-11,0330,Terra,MODIS,65,6.0NRT,289.1,24.9,N
-27.519,-63.862,309.4,2.3,1.5,2020-10-11,0330,Terra,MODIS,77,6.0NRT,290.3,32.6,N
-27.523,-63.885,342.3,2.3,1.5,2020-10-11,0330,Terra,MODIS,100,6.0NRT,293.3,160.4,N
-27.523,-63.867,328,2.3,1.5,2020-10-11,0330,Terra,MODIS,100,6.0NRT,292.6,92.4,N
-33.601,-59.568,307.9,3.1,1.7,2020-10-11,0330,Terra,MODIS,73,6.0NRT,267.1,64.3,N
-27.527,-63.89,331.8,2.3,1.5,2020-10-11,0330,Terra,MODIS,100,6.0NRT,292.5,108.2,N
-26.672,-64.937,303.7,2,1.4,2020-10-11,0330,Terra,MODIS,56,6.0NRT,289.2,19.2,N
-26.66,-64.941,311.3,2,1.4,2020-10-11,0330,Terra,MODIS,82,6.0NRT,288.7,31.5,N
-25.446,-63.358,303.5,2.8,1.6,2020-10-11,0330,Terra,MODIS,56,6.0NRT,288.1,30.5,N
-25.451,-63.385,328.2,2.7,1.6,2020-10-11,0330,Terra,MODIS,100,6.0NRT,292.6,122.4,N
-25.432,-63.362,312.5,2.8,1.6,2020-10-11,0330,Terra,MODIS,85,6.0NRT,288.3,55.2,N
-25.437,-63.389,331,2.7,1.6,2020-10-11,0330,Terra,MODIS,100,6.0NRT,290.6,136.6,N
-24.969,-64.033,300.7,2.5,1.5,2020-10-11,0330,Terra,MODIS,32,6.0NRT,287.4,22.6,N
-23.717,-64.614,302.1,2.5,1.5,2020-10-11,0330,Terra,MODIS,7,6.0NRT,291.5,15.6,N
-23.59,-64.545,310.9,2.5,1.5,2020-10-11,0330,Terra,MODIS,70,6.0NRT,293.3,36.9,N
-23.598,-64.549,313.2,2.5,1.5,2020-10-11,0330,Terra,MODIS,86,6.0NRT,293.9,44.3,N
-32.796,-65.848,339.3,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,285.1,66.6,N
-32.811,-65.874,307.2,1.3,1.1,2020-10-11,0330,Terra,MODIS,17,6.0NRT,280.2,14.6,N
-32.808,-65.86,335.7,1.3,1.1,2020-10-11,0330,Terra,MODIS,100,6.0NRT,283.4,59.7,N
-32.819,-65.857,314.9,1.3,1.1,2020-10-11,0330,Terra,MODIS,73,6.0NRT,281.3,23.6,N
-32.691,-65.142,302.9,1.5,1.2,2020-10-11,0330,Terra,MODIS,52,6.0NRT,280.5,14.6,N
-32.702,-65.139,313.4,1.5,1.2,2020-10-11,0330,Terra,MODIS,87,6.0NRT,281.8,26.1,N
-32.693,-65.136,311.4,1.5,1.2,2020-10-11,0330,Terra,MODIS,82,6.0NRT,281.1,23.5,N
-32.001,-61.461,300.7,2.6,1.5,2020-10-11,0330,Terra,MODIS,33,6.0NRT,287.8,19.7,N
-32.014,-61.457,319.8,2.6,1.5,2020-10-11,0330,Terra,MODIS,99,6.0NRT,288.6,73.5,N
-32.008,-61.43,317.5,2.6,1.5,2020-10-11,0330,Terra,MODIS,95,6.0NRT,289.4,65.1,N
-32.906,-65.61,305.9,1.4,1.2,2020-10-11,0330,Terra,MODIS,46,6.0NRT,282.7,14.4,N
-35.88,-62.841,315.2,1.7,1.3,2020-10-11,0330,Terra,MODIS,91,6.0NRT,282.6,37,N
-35.875,-62.836,336.3,1.7,1.3,2020-10-11,0330,Terra,MODIS,100,6.0NRT,283.4,90,N
-23.502,-64.496,307.6,2.5,1.5,2020-10-11,0330,Terra,MODIS,41,6.0NRT,291.2,28.5,N
-23.496,-64.502,309.8,2.5,1.5,2020-10-11,0330,Terra,MODIS,52,6.0NRT,290.8,32.9,N
-23.299,-64.479,302.7,2.6,1.5,2020-10-11,0330,Terra,MODIS,46,6.0NRT,292.2,18.6,N
-23.002,-63.476,302.1,3.1,1.7,2020-10-11,0330,Terra,MODIS,47,6.0NRT,289.7,27.6,N
-23.004,-63.482,301.2,3.1,1.7,2020-10-11,0330,Terra,MODIS,38,6.0NRT,289.9,25.7,N
-23.021,-63.721,300.5,2.9,1.6,2020-10-11,0330,Terra,MODIS,29,6.0NRT,288.9,24.4,N
-23.042,-64.123,303.7,2.8,1.6,2020-10-11,0330,Terra,MODIS,49,6.0NRT,292,24.6,N
